id,Node_id,Timestamp,Version,data
563523,WM-WD-VN01-00,2022-11-13 02:10:10+05:30,V3.0.0,"['1668285610', ' 25.81', ' 0.090073', ' 37.62', ' 83.28', ' 0.00']"
608952,WM-WD-PH02-00,2022-11-28 03:09:41+05:30,V3.0.0,"['1669585181', ' 28.06', ' 0.116821', ' 48.44', ' 45.73', ' 0.00']"
564557,WM-WD-VN01-00,2022-11-13 12:14:04+05:30,V3.0.0,"['1668321844', ' 25.38', ' 0.089724', ' 37.48', ' 83.45', ' 0.00']"
513837,WM-WD-VN01-00,2022-10-02 15:37:06+05:30,V3.0.0,"['1664705226', ' 25.94', ' 0.042136', ' 17.84', ' 63.76', ' 0.00']"
514504,WM-WD-VN01-00,2022-10-03 13:45:18+05:30,V3.0.0,"['1664784918', ' 25.94', ' 0.044580', ' 18.86', ' 64.76', ' 0.00']"
541706,WM-WD-VN00-00,2022-11-02 17:55:08+05:30,V3.0.0,"['1667391908', ' 26.19', ' 0.146980', ' 60.46', ' 114.11', ' 0.00']"
513849,WM-WD-PH02-00,2022-10-02 16:19:58+05:30,V3.0.0,"['1664707798', ' 28.69', ' 0.601160', ' 225.97', ' 236.62', ' 0.00']"
542301,WM-WD-PH01-00,2022-11-03 03:50:37+05:30,V3.0.0,"['1667427637', ' 27.44', ' 0.330161', ' 129.99', ' 374.36', ' 0.00']"
563574,WM-WD-VN00-00,2022-11-13 02:36:41+05:30,V3.0.0,"['1668287201', ' 26.00', ' 0.087280', ' 36.49', ' 100.79', ' 0.00']"
539328,WM-WD-VN01-00,2022-10-31 17:12:40+05:30,V3.0.0,"['1667216560', ' 25.44', ' 0.069797', ' 29.32', ' 75.31', ' 0.00']"
513858,WM-WD-VN00-00,2022-10-02 17:04:58+05:30,V3.0.0,"['1664710498', ' 27.94', ' 0.215703', ' 87.19', ' 132.59', ' 0.00']"
563601,WM-WD-PH03-00,2022-11-13 02:00:20+05:30,V3.0.0,"['1668285020', ' 26.06', ' 2.695805', ' 1532.91', ' 123.11', ' 0.00']"
542827,WM-WD-PH03-00,2022-11-03 12:23:50+05:30,V3.0.0,"['1667458430', ' 0.00', ' 2.906272', ' 1802.92', ' -11.96', ' 0.00']"
541046,WM-WD-PH01-00,2022-11-02 03:41:21+05:30,V3.0.0,"['1667340681', ' 27.50', ' 0.315444', ' 124.59', ' 369.05', ' 0.00']"
514523,WM-WD-VN00-00,2022-10-03 15:14:25+05:30,V3.0.0,"['1664790265', ' 27.88', ' 0.209607', ' 84.85', ' 130.47', ' 0.00']"
541721,WM-WD-VN00-00,2022-11-02 17:56:59+05:30,V3.0.0,"['1667392019', ' 26.19', ' 0.152754', ' 62.74', ' 116.34', ' 0.00']"
541723,WM-WD-PH01-00,2022-11-02 17:46:30+05:30,V3.0.0,"['1667391390', ' 27.38', ' 0.379280', ' 147.83', ' 391.62', ' 0.00']"
513881,WM-WD-VN01-00,2022-10-02 17:37:46+05:30,V3.0.0,"['1664712466', ' 26.12', ' 0.004109', ' 1.76', ' 47.96', ' 0.00']"
540314,WM-WD-VN01-00,2022-11-01 09:18:47+05:30,V3.0.0,"['1667274527', ' 25.06', ' 0.069314', ' 29.12', ' 75.33', ' 0.00']"
585682,WM-WD-PH02-00,2022-11-20 05:16:59+05:30,V3.0.0,"['1668901619', ' 27.44', ' 0.728992', ' 270.37', ' 258.58', ' 0.00']"
525451,WM-WD-PH01-00,2022-10-21 07:54:12+05:30,V3.0.0,"['1666319052', ' 26.94', ' 0.143408', ' 59.04', ' 218.92', ' 0.00']"
513894,WM-WD-PH02-00,2022-10-02 18:20:49+05:30,V3.0.0,"['1664715049', ' 28.69', ' 0.604544', ' 227.15', ' 237.72', ' 0.00']"
541077,WM-WD-VN01-00,2022-11-02 04:18:35+05:30,V3.0.0,"['1667342915', ' 25.31', ' 0.069556', ' 29.22', ' 75.28', ' 0.00']"
526334,WM-WD-VN01-00,2022-10-21 16:04:24+05:30,V3.0.0,"['1666348464', ' 26.25', ' 0.063997', ' 26.93', ' 72.52', ' 0.00']"
541078,WM-WD-PH02-00,2022-11-02 04:18:33+05:30,V3.0.0,"['1667342913', ' 27.81', ' 0.927991', ' 340.97', ' 348.13', ' 0.00']"
513903,WM-WD-VN00-00,2022-10-02 19:05:56+05:30,V3.0.0,"['1664717756', ' 28.00', ' 0.213770', ' 86.45', ' 131.80', ' 0.00']"
539504,WM-WD-VN01-00,2022-10-31 19:13:18+05:30,V3.0.0,"['1667223798', ' 25.81', ' 0.069448', ' 29.18', ' 74.96', ' 0.00']"
630456,WM-WD-VN00-00,2022-12-03 12:31:39+05:30,V3.0.0,"['1670050899', ' 25.62', ' 0.051616', ' 21.80', ' 86.53', ' 0.00']"
609065,WM-WD-VN01-00,2022-11-28 04:50:45+05:30,V1.0.0,"['1669591245', ' 25.50', ' 0.108979', ' 45.29', ' 84.85', ' 0.00']"
515106,WM-WD-VN00-00,2022-10-04 05:20:33+05:30,V3.0.0,"['1664841033', ' 26.94', ' 0.202624', ' 82.17', ' 129.25', ' 0.00']"
525576,WM-WD-PH03-00,2022-10-21 08:44:41+05:30,V3.0.0,"['1666322081', ' 0.00', ' 0.000000', ' 0.00', ' 168.24', ' 0.00']"
513927,WM-WD-VN01-00,2022-10-02 19:38:43+05:30,V3.0.0,"['1664719723', ' 26.56', ' 0.000000', ' 0.00', ' 46.24', ' 0.00']"
563733,WM-WD-PH02-00,2022-11-13 01:31:30+05:30,V3.0.0,"['1668283290', ' 27.94', ' 0.986858', ' 362.59', ' 342.46', ' 0.00']"
585775,WM-WD-VN01-00,2022-11-20 06:51:01+05:30,V3.0.0,"['1668907261', ' 24.44', ' 0.092678', ' 38.68', ' 85.35', ' 0.00']"
563752,WM-WD-VN01-00,2022-11-13 04:10:55+05:30,V3.0.0,"['1668292855', ' 25.69', ' 0.090020', ' 37.60', ' 83.35', ' 0.00']"
630484,WM-WD-VN01-00,2022-12-03 12:24:27+05:30,V1.0.0,"['1670050467', ' 25.38', ' 0.122192', ' 50.59', ' 90.23', ' 0.00']"
567231,WM-WD-PH03-00,2022-11-14 12:30:14+05:30,V3.0.0,"['1668409214', ' 26.12', ' 0.565200', ' 213.48', ' 347.47', ' 0.00']"
513941,WM-WD-PH02-00,2022-10-02 20:21:42+05:30,V3.0.0,"['1664722302', ' 28.62', ' 0.603738', ' 226.87', ' 237.68', ' 0.00']"
566086,WM-WD-PH03-00,2022-11-14 02:26:25+05:30,V3.0.0,"['1668372985', ' 26.19', ' 0.564824', ' 213.34', ' 568.78', ' 0.00']"
516023,WM-WD-PH02-00,2022-10-05 01:33:38+05:30,V3.0.0,"['1664913818', ' 28.31', ' 0.855132', ' 314.76', ' 320.94', ' 0.00']"
586737,WM-WD-VN00-00,2022-11-20 14:42:56+05:30,V3.0.0,"['1668935576', ' 25.38', ' 0.091416', ' 38.17', ' 102.89', ' 0.00']"
515602,WM-WD-VN01-00,2022-10-04 16:50:29+05:30,V3.0.0,"['1664882429', ' 26.25', ' 0.060317', ' 25.41', ' 71.04', ' 0.00']"
542841,WM-WD-PH03-00,2022-11-03 12:25:37+05:30,V3.0.0,"['1667458537', ' 0.00', ' 2.903183', ' 1798.68', ' -11.88', ' 0.00']"
528786,WM-WD-VN01-00,2022-10-22 10:11:20+05:30,V3.0.0,"['1666413680', ' 25.50', ' 0.060237', ' 25.37', ' 71.37', ' 0.00']"
585795,WM-WD-VN00-00,2022-11-20 08:40:35+05:30,V3.0.0,"['1668913835', ' 23.12', ' 0.088489', ' 36.98', ' 103.38', ' 0.00']"
514576,WM-WD-PH02-00,2022-10-03 16:30:32+05:30,V3.0.0,"['1664794832', ' 28.56', ' 0.703962', ' 261.66', ' 270.40', ' 0.00']"
539603,WM-WD-VN01-00,2022-10-31 21:14:05+05:30,V3.0.0,"['1667231045', ' 25.50', ' 0.068831', ' 28.92', ' 74.88', ' 0.00']"
541767,WM-WD-VN01-00,2022-11-02 18:23:48+05:30,V3.0.0,"['1667393628', ' 25.44', ' 0.070281', ' 29.52', ' 75.51', ' 0.00']"
513952,WM-WD-VN00-00,2022-10-02 21:06:44+05:30,V3.0.0,"['1664725004', ' 27.50', ' 0.210010', ' 85.01', ' 131.16', ' 0.00']"
565427,WM-WD-PH03-00,2022-11-13 20:24:02+05:30,V3.0.0,"['1668351242', ' 26.12', ' 0.568879', ' 214.76', ' 570.40', ' 0.00']"
514582,WM-WD-VN01-00,2022-10-03 15:46:13+05:30,V3.0.0,"['1664792173', ' 26.06', ' 0.000000', ' 0.00', ' 46.24', ' 0.00']"
541772,WM-WD-PH02-00,2022-11-02 18:24:13+05:30,V3.0.0,"['1667393653', ' 28.00', ' 1.065437', ' 392.21', ' 394.39', ' 0.00']"
542343,WM-WD-VN01-00,2022-11-03 04:27:31+05:30,V3.0.0,"['1667429851', ' 25.31', ' 0.068723', ' 28.88', ' 74.94', ' 0.00']"
541137,WM-WD-PH01-00,2022-11-02 05:42:04+05:30,V3.0.0,"['1667347924', ' 27.44', ' 0.309751', ' 122.50', ' 367.18', ' 0.00']"
540438,WM-WD-VN01-00,2022-11-01 11:19:43+05:30,V3.0.0,"['1667281783', ' 25.19', ' 0.068293', ' 28.70', ' 74.84', ' 0.00']"
515136,WM-WD-PH02-00,2022-10-04 04:35:47+05:30,V3.0.0,"['1664838347', ' 28.38', ' 0.989006', ' 363.38', ' 365.41', ' 0.00']"
525653,WM-WD-VN01-00,2022-10-21 12:02:57+05:30,V3.0.0,"['1666333977', ' 25.56', ' 0.063621', ' 26.77', ' 72.72', ' 0.00']"
513977,WM-WD-VN01-00,2022-10-02 21:39:25+05:30,V3.0.0,"['1664726965', ' 25.56', ' 0.000000', ' 0.00', ' 46.24', ' 0.00']"
514602,WM-WD-VN00-00,2022-10-03 17:15:09+05:30,V3.0.0,"['1664797509', ' 28.00', ' 0.209929', ' 84.97', ' 130.40', ' 0.00']"
631559,WM-WD-VN01-00,2022-12-03 19:35:27+05:30,V1.0.0,"['1670076327', ' 26.19', ' 0.124985', ' 51.71', ' 90.55', ' 0.00']"
516034,WM-WD-VN00-00,2022-10-05 05:26:08+05:30,V3.0.0,"['1664927768', ' 26.88', ' 0.198167', ' 80.45', ' 127.68', ' 0.00']"
542357,WM-WD-PH02-00,2022-11-03 04:28:22+05:30,V3.0.0,"['1667429902', ' 28.00', ' 1.108352', ' 408.82', ' 409.64', ' 0.00']"
542854,WM-WD-PH01-00,2022-11-03 11:53:43+05:30,V3.0.0,"['1667456623', ' 27.38', ' 0.348047', ' 136.52', ' 380.76', ' 0.00']"
563804,WM-WD-VN00-00,2022-11-13 04:37:31+05:30,V3.0.0,"['1668294451', ' 25.81', ' 0.085803', ' 35.88', ' 100.32', ' 0.00']"
513992,WM-WD-PH02-00,2022-10-02 22:22:41+05:30,V3.0.0,"['1664729561', ' 28.75', ' 0.605886', ' 227.62', ' 237.92', ' 0.00']"
527777,WM-WD-PH03-00,2022-10-22 00:47:22+05:30,V3.0.0,"['1666379842', ' 0.00', ' 0.782622', ' 289.13', ' 150.82', ' 0.00']"
631566,WM-WD-PH03-00,2022-12-03 22:02:29+05:30,V3.0.0,"['1670085149', ' 26.00', ' 2.399107', ' 1213.33', ' 1528.62', ' 0.00']"
542857,WM-WD-PH03-00,2022-11-03 12:29:23+05:30,V3.0.0,"['1667458763', ' 0.00', ' 2.898726', ' 1792.57', ' 118.23', ' 0.00']"
526471,WM-WD-PH01-00,2022-10-21 15:22:53+05:30,V3.0.0,"['1666345973', ' 28.25', ' 0.140696', ' 57.97', ' 216.56', ' 0.00']"
