id,Node_id,Timestamp,Version,data
4188008,SR-AQ-VN01-01,2023-11-07 00:00:43+05:30,V3.0.00,"['1699295443 ', ' 23 ', ' 23 ', ' 640 ', ' 129 ', ' 31150 ', ' 30.75 ', ' 60.68']"
4188015,SR-AQ-VN01-01,2023-11-07 00:01:42+05:30,V3.0.00,"['1699295502 ', ' 23 ', ' 23 ', ' 674 ', ' 129 ', ' 31159 ', ' 30.79 ', ' 60.61']"
4188020,SR-AQ-VN01-01,2023-11-07 00:02:38+05:30,V3.0.00,"['1699295558 ', ' 22 ', ' 22 ', ' 654 ', ' 129 ', ' 31171 ', ' 30.78 ', ' 60.59']"
4188028,SR-AQ-VN01-01,2023-11-07 00:03:33+05:30,V3.0.00,"['1699295613 ', ' 25 ', ' 25 ', ' 616 ', ' 130 ', ' 31167 ', ' 30.78 ', ' 60.57']"
4188034,SR-AQ-VN01-01,2023-11-07 00:04:29+05:30,V3.0.00,"['1699295669 ', ' 24 ', ' 24 ', ' 618 ', ' 130 ', ' 31158 ', ' 30.77 ', ' 60.60']"
4188039,SR-AQ-VN01-01,2023-11-07 00:05:25+05:30,V3.0.00,"['1699295725 ', ' 25 ', ' 25 ', ' 654 ', ' 131 ', ' 31150 ', ' 30.77 ', ' 60.60']"
4188047,SR-AQ-VN01-01,2023-11-07 00:06:23+05:30,V3.0.00,"['1699295783 ', ' 22 ', ' 22 ', ' 678 ', ' 131 ', ' 31143 ', ' 30.75 ', ' 60.64']"
4188055,SR-AQ-VN01-01,2023-11-07 00:07:18+05:30,V3.0.00,"['1699295838 ', ' 26 ', ' 26 ', ' 640 ', ' 132 ', ' 31135 ', ' 30.72 ', ' 60.66']"
4188061,SR-AQ-VN01-01,2023-11-07 00:08:17+05:30,V3.0.00,"['1699295897 ', ' 24 ', ' 24 ', ' 636 ', ' 132 ', ' 31127 ', ' 30.71 ', ' 60.66']"
4188067,SR-AQ-VN01-01,2023-11-07 00:09:13+05:30,V3.0.00,"['1699295953 ', ' 22 ', ' 22 ', ' 658 ', ' 133 ', ' 31114 ', ' 30.71 ', ' 60.70']"
4188075,SR-AQ-VN01-01,2023-11-07 00:10:20+05:30,V3.0.00,"['1699296020 ', ' 24 ', ' 24 ', ' 692 ', ' 133 ', ' 31118 ', ' 30.67 ', ' 60.76']"
4188083,SR-AQ-VN01-01,2023-11-07 00:11:15+05:30,V3.0.00,"['1699296075 ', ' 25 ', ' 25 ', ' 704 ', ' 134 ', ' 31115 ', ' 30.67 ', ' 60.82']"
4188087,SR-AQ-VN01-01,2023-11-07 00:12:14+05:30,V3.0.00,"['1699296134 ', ' 22 ', ' 22 ', ' 718 ', ' 135 ', ' 31099 ', ' 30.67 ', ' 60.86']"
4188095,SR-AQ-VN01-01,2023-11-07 00:13:10+05:30,V3.0.00,"['1699296190 ', ' 23 ', ' 23 ', ' 692 ', ' 136 ', ' 31095 ', ' 30.65 ', ' 60.88']"
4188103,SR-AQ-VN01-01,2023-11-07 00:14:07+05:30,V3.0.00,"['1699296247 ', ' 25 ', ' 25 ', ' 692 ', ' 136 ', ' 31102 ', ' 30.64 ', ' 60.96']"
4188108,SR-AQ-VN01-01,2023-11-07 00:15:03+05:30,V3.0.00,"['1699296303 ', ' 24 ', ' 24 ', ' 698 ', ' 136 ', ' 31122 ', ' 30.63 ', ' 60.99']"
4188114,SR-AQ-VN01-01,2023-11-07 00:16:02+05:30,V3.0.00,"['1699296362 ', ' 23 ', ' 23 ', ' 684 ', ' 136 ', ' 31127 ', ' 30.60 ', ' 61.06']"
4188123,SR-AQ-VN01-01,2023-11-07 00:16:58+05:30,V3.0.00,"['1699296418 ', ' 22 ', ' 22 ', ' 682 ', ' 136 ', ' 31131 ', ' 30.58 ', ' 61.11']"
4188129,SR-AQ-VN01-01,2023-11-07 00:17:54+05:30,V3.0.00,"['1699296474 ', ' 24 ', ' 24 ', ' 664 ', ' 135 ', ' 31151 ', ' 30.58 ', ' 61.12']"
